[2022-10-05 10:07:43] - 警告 建立連接至 SQL Server 時，發生網路相關或執行個體特定的錯誤。找不到或無法存取伺服器。確認執行個名稱是否正確，以及 SQL Server 是否設定為允許遠端連線。 (provider: Named Pipes Provider, error: 40 - 無法開啟至 SQL Server 的連接)
[2022-10-05 10:54:11] - 訊息 轉檔日期：2022-10-05, 車次筆數：4599
轉檔日期：2022-10-06, 車次筆數：4686
轉檔日期：2022-10-07, 車次筆數：5931
轉檔日期：2022-10-08, 車次筆數：5425
轉檔日期：2022-10-09, 車次筆數：5034
轉檔日期：2022-10-10, 車次筆數：5908
轉檔日期：2022-10-11, 車次筆數：4696
轉檔日期：2022-10-12, 車次筆數：4599
轉檔日期：2022-10-13, 車次筆數：4686
轉檔日期：2022-10-14, 車次筆數：5448
轉檔日期：2022-10-15, 車次筆數：5040
轉檔日期：2022-10-16, 車次筆數：5412
轉檔日期：2022-10-17, 車次筆數：4614
轉檔日期：2022-10-18, 車次筆數：4599
轉檔日期：2022-10-19, 車次筆數：4599
轉檔日期：2022-10-20, 車次筆數：4686
轉檔日期：2022-10-21, 車次筆數：5448
轉檔日期：2022-10-22, 車次筆數：5040
轉檔日期：2022-10-23, 車次筆數：5412
轉檔日期：2022-10-24, 車次筆數：4614
轉檔日期：2022-10-25, 車次筆數：4599
轉檔日期：2022-10-26, 車次筆數：4599
轉檔日期：2022-10-27, 車次筆數：4686
轉檔日期：2022-10-28, 車次筆數：5448
轉檔日期：2022-10-29, 車次筆數：5040
轉檔日期：2022-10-30, 車次筆數：5412
轉檔日期：2022-10-31, 車次筆數：4614
轉檔日期：2022-11-01, 車次筆數：4599
轉檔日期：2022-11-02, 車次筆數：4599

